City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,puerto ayora,-0.7393,-90.3518,21.42,93,86,3.13,EC,1729042867
112,daru,-9.0763,143.2092,27.91,74,26,4.87,PG,1729042869
113,stettler,52.3168,-112.7186,11.63,52,100,3.11,CA,1729042870
114,nuuk,64.1835,-51.7216,-0.66,74,16,3.6,GL,1729042871
115,revda,56.801,59.9303,-3.82,77,3,1.47,RU,1729042872
116,mitu,1.1983,-70.1733,22.58,96,80,0.81,CO,1729042873
117,iquitos,-3.7481,-73.2472,26.02,78,0,1.54,PE,1729042672
118,ashoknagar,24.5667,77.7167,24.02,44,96,1.45,IN,1729042875
119,lesnoy,57.6198,63.0784,-2.45,78,0,2.05,RU,1729042878
120,cabedelo,-6.9811,-34.8339,25.37,78,87,6.04,BR,1729042879
121,jokioinen,60.8016,23.48,2.23,90,49,2.15,FI,1729042880
122,puerto carreno,6.189,-67.4859,23.01,93,100,0.9,CO,1729042881
123,remire-montjoly,4.9167,-52.2667,25.02,94,20,0.0,GF,1729042882
124,san antonio de pale,-1.4014,5.6325,26.0,75,100,4.13,GQ,1729042883
125,humberto de campos,-2.5983,-43.4611,24.2,87,37,2.14,BR,1729042884
126,woolgoolga,-30.1106,153.2007,18.93,67,100,3.15,AU,1729042886
127,darwin,-12.4611,130.8418,30.53,79,75,1.54,AU,1729042887
128,tofol,5.3248,163.0078,29.88,79,75,3.6,FM,1729042888
129,talcahuano,-36.7167,-73.1167,11.82,94,0,1.54,CL,1729042780
130,hadibu,12.65,54.0333,25.68,79,98,1.45,YE,1729042890
131,ola,59.5833,151.2833,4.44,94,100,5.06,RU,1729042891
132,smithers,54.7804,-127.1743,9.18,76,75,1.54,CA,1729042892
133,atherton,53.5237,-2.4935,14.08,95,100,6.08,GB,1729042893
134,margaret river,-33.95,115.0667,16.03,80,100,5.74,AU,1729042894
135,prado,-17.3411,-39.2208,22.51,87,99,2.9,BR,1729042896
136,trindade,-16.6494,-49.4889,21.86,90,72,1.26,BR,1729042897
137,melekeok village,7.4957,134.6367,30.31,70,75,3.6,PW,1729042898
138,mizdah,31.4451,12.9801,18.72,77,0,3.07,LY,1729042900
139,alliance,40.9153,-81.1059,5.92,92,40,4.57,US,1729042901
140,cheney,47.4874,-117.5758,16.16,62,100,2.71,US,1729042632
141,mundo novo,-11.8589,-40.4725,19.52,91,100,1.74,BR,1729042903
142,tsiombe,-25.3,45.4833,18.95,82,97,4.73,MG,1729042904
143,lethbridge,49.7,-112.8186,15.27,62,100,2.06,CA,1729042720
144,port lincoln,-34.7333,135.8667,20.66,74,50,4.02,AU,1729042907
145,sombrio,-29.1139,-49.6167,18.14,95,80,1.36,BR,1729042908
146,longyearbyen,78.2186,15.6401,0.91,86,40,0.51,SJ,1729042909
147,pisco,-13.7,-76.2167,18.03,88,100,2.06,PE,1729042910
148,alofi,-19.0595,-169.9187,28.94,58,40,5.14,NU,1729042911
149,taltal,-25.4,-70.4833,15.86,80,24,1.84,CL,1729042820
150,bikenibeu village,1.3673,173.1241,31.98,66,20,6.17,KI,1729042913
151,nemuro,43.3236,145.575,16.64,92,100,6.84,JP,1729042914
152,wewak,-3.5534,143.6268,29.04,74,100,3.81,PG,1729042916
153,ouesso,1.6136,16.0517,21.56,99,99,1.04,CG,1729042917
154,lihue,21.9789,-159.3672,28.77,65,40,7.72,US,1729042918
155,kharabali,47.4196,47.2568,6.78,59,95,4.99,RU,1729042919
156,borogontsy,62.6683,131.1683,-5.11,85,42,1.9,RU,1729042920
157,chonchi,-42.6128,-73.8092,8.95,94,90,0.06,CL,1729042921
158,medvedevo,56.6339,47.804,2.59,96,100,3.52,RU,1729042923
159,kununurra,-15.7667,128.7333,34.99,49,59,3.6,AU,1729042924
160,trincomalee,8.5711,81.2335,26.29,85,100,8.18,LK,1729042926
161,horta,38.5333,-28.6333,18.34,71,100,2.24,PT,1729042927
162,vorgashor,67.5833,63.95,-2.76,80,100,3.75,RU,1729042928
163,susuman,62.7833,148.1667,-5.93,92,100,2.09,RU,1729042929
164,katsuura,35.1333,140.3,25.44,76,100,7.48,JP,1729042930
165,arroio grande,-32.2375,-53.0869,17.25,97,7,3.03,BR,1729042635
166,polyarnyy,69.1989,33.4478,2.61,85,8,7.13,RU,1729042932
167,sawang daen din,17.4753,103.4575,30.05,100,81,2.46,TH,1729042933
168,odienne,9.51,-7.5692,22.14,93,100,0.75,CI,1729042934
169,xilin hot,43.9667,116.0333,11.25,54,100,6.43,CN,1729042935
170,akureyri,65.6835,-18.0878,0.96,93,100,2.57,IS,1729042937
171,camapua,-19.5314,-54.0439,25.87,61,69,1.48,BR,1729042938
